VAR1,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,metro_dist_group
890,282.61429944,Private room,False,True,2,True,0,0,10,96,1,2.1157900957,1.5912666058,193.71691542,10.257439387,230.78362503,16.081335026,4.92417,52.37297,Close
891,467.04004874,Entire home/apt,False,False,4,False,0,0,10,100,1,4.9439558549,3.4515249236,80.171086367,4.2451122931,100.50479344,7.0033186053,4.88602,52.41746,Far
892,411.50141776,Private room,False,True,4,False,0,0,10,97,1,2.2611117406,1.8825092498,222.32653527,11.772337768,274.32999239,19.115708554,4.86146,52.36707,Close
893,811.05148455,Entire home/apt,False,False,4,False,0,0,9,96,2,1.9297542637,0.5587222832,277.30683666,14.683581259,356.1344852,24.815963307,4.90351,52.3571,Very Close
894,614.44004406,Entire home/apt,False,False,3,False,0,0,7,90,2,3.7456088687,1.2895512596,149.08316019,7.8940523907,192.78346361,13.433429106,4.8533,52.35,Close
895,270.42860825,Private room,False,True,2,False,1,0,10,100,1,5.1327760718,0.32745851,102.9828508,5.4530103771,127.49543031,8.8840650146,4.87174,52.32899,Very Close
896,276.52145385,Private room,False,True,2,False,1,0,10,100,1,7.21349521,2.8222889185,64.978927164,3.4406773688,80.389054777,5.6016249943,4.79331,52.35151,Kinda Far
897,258.24291707,Private room,False,True,2,False,0,0,10,100,1,2.8858260468,0.5319287229,171.54158706,9.0832410159,225.06712058,15.683000771,4.91533,52.35115,Very Close
898,384.78663323,Entire home/apt,False,False,2,False,0,1,10,100,1,4.0293696437,0.976828521,133.95478101,7.0929946611,171.21791268,11.93071049,4.84837,52.34953,Very Close
899,728.79806904,Entire home/apt,False,False,4,False,0,0,10,100,2,3.1535562293,0.6019040352,166.05715736,8.7928368196,211.92966074,14.767563668,4.90895,52.3466,Very Close
900,387.13003539,Entire home/apt,False,False,2,False,0,0,8,80,0,1.9041523335,1.5853024988,296.87316587,15.719631391,354.70674687,24.716476446,4.86876,52.36481,Close
901,233.63719448,Private room,False,True,2,False,0,0,6,20,1,8.1450367708,0.6884091181,57.893169538,3.0654817943,74.226223005,5.1721900098,4.95764,52.31161,Very Close
903,436.10714035,Entire home/apt,False,False,3,False,1,0,10,100,1,4.303129454,0.1937963362,114.35344845,6.0550910781,147.63495433,10.287416024,4.92103,52.33854,Very Close
904,393.45722119,Entire home/apt,False,False,2,False,0,0,10,100,1,1.8518876618,0.6848586524,311.11828558,16.473919945,397.92643056,27.728086186,4.90041,52.3572,Very Close
905,515.54847327,Entire home/apt,False,False,2,False,0,0,10,100,1,3.6208125135,2.5000756778,118.74792965,6.2877817771,151.46090382,10.554013689,4.94452,52.36495,Kinda Far
906,225.66962716,Private room,False,True,2,False,1,0,10,80,1,1.6208085842,0.0510521031,290.64815772,15.390013073,357.68953802,24.924321625,4.90703,52.36142,Very Close
907,209.03147189,Private room,False,True,2,False,1,0,6,60,1,8.0695081791,0.4333650387,59.10443859,3.1296192954,77.614486645,5.408289095,4.95192,52.31028,Very Close
908,393.92590162,Private room,False,True,4,False,0,1,10,100,1,2.1769794974,0.7344087543,211.89502759,11.219982505,257.69735021,17.956722117,4.91856,52.3614,Very Close
909,504.06580273,Entire home/apt,False,False,4,True,0,0,10,98,2,2.2623924565,1.8476262037,165.51379806,8.7640655831,212.73449131,14.82364542,4.87676,52.39094,Close
910,350.33862161,Private room,False,True,2,False,1,0,10,93,1,2.1895054583,0.6690137168,470.82522323,24.930508411,442.03434501,30.801589125,4.881,52.355,Very Close
911,221.21716308,Private room,False,True,3,False,1,0,10,100,1,6.0276074542,1.094775827,81.288981262,4.3043055705,100.5454708,7.0061530626,4.81905,52.34357,Close
912,258.00857685,Private room,False,True,2,False,0,0,10,100,1,3.0837439315,1.6824395224,142.90672824,7.567006215,184.36449479,12.846783246,4.93401,52.36135,Close
913,430.24863497,Entire home/apt,False,False,4,False,1,0,9,90,2,5.9689563747,1.0517066498,82.106573573,4.3475976266,101.61635864,7.080774068,4.81944,52.34417,Close
914,405.64291238,Entire home/apt,False,False,2,False,0,0,10,100,1,3.4616753364,1.3320262573,162.60617859,8.6101052005,224.0974702,15.615434138,4.85421,52.3532,Close
915,669.74433483,Entire home/apt,False,False,4,False,0,0,8,100,1,1.3794460551,1.3956525815,309.14637692,16.369506071,385.58316066,26.867989381,4.8729,52.37417,Close
916,540.62287629,Entire home/apt,False,False,3,False,1,0,10,100,2,4.0333252079,0.9769056281,133.80674638,7.0851561291,170.91500938,11.909603752,4.84835,52.34949,Very Close
917,1044.688679,Entire home/apt,False,False,4,False,1,0,9,90,1,0.4955941276,0.1733919684,666.92443403,35.314091922,918.66993456,64.01424275,4.90033,52.37375,Very Close
918,215.12431748,Private room,False,True,2,False,0,0,10,96,1,3.6789251343,0.1780570712,120.07592879,6.3581002141,150.30892881,10.473742412,4.83968,52.37819,Very Close
919,258.00857685,Private room,False,True,2,False,0,0,10,100,1,3.3301962748,1.3913833749,136.57891837,7.231944478,181.5188801,12.64849672,4.93219,52.35525,Close
920,201.53258501,Private room,False,True,3,False,0,0,10,100,1,5.590492078,3.5578752293,71.432361633,3.7823910119,89.146094626,6.2118281299,4.89398,52.42348,Far
